locator,folio_id,hand,reason
"f66r.64,+P0;H",f66r,,hand label is blank
"f66r.65,+P0;H",f66r,,hand label is blank
"f66r.66,+P0;H",f66r,,hand label is blank
"f66r.67,+P0;H",f66r,,hand label is blank
"f66r.68,+P0;H",f66r,,hand label is blank
"f66r.69,+P0;H",f66r,,hand label is blank
"f66r.70,+P0;H",f66r,,hand label is blank
"f66r.71,+P0;H",f66r,,hand label is blank
"f66r.72,+P0;H",f66r,,hand label is blank
"f66r.73,+P0;H",f66r,,hand label is blank
"f66r.74,+P0;H",f66r,,hand label is blank
"f66r.75,+P0;H",f66r,,hand label is blank
"f66r.76,+P0;H",f66r,,hand label is blank
"f66r.77,+P0;H",f66r,,hand label is blank
"f66r.78,+P0;H",f66r,,hand label is blank
"f66r.79,+P0;H",f66r,,hand label is blank
"f66r.80,+P0;H",f66r,,hand label is blank
"f66r.81,+P0;H",f66r,,hand label is blank
"f66r.82,@Lx;H",f66r,,hand label is blank
"f66v.1,@P0;H",f66v,,hand label is blank
"f66v.2,+P0;H",f66v,,hand label is blank
"f66v.3,+P0;H",f66v,,hand label is blank
"f66v.4,+P0;H",f66v,,hand label is blank
"f66v.5,+P0;H",f66v,,hand label is blank
"f66v.6,+P0;H",f66v,,hand label is blank
"f66v.7,+P0;H",f66v,,hand label is blank
"f66v.8,+P0;H",f66v,,hand label is blank
"f66v.9,+P0;H",f66v,,hand label is blank
"f66v.10,+P0;H",f66v,,hand label is blank
"f66v.11,+P0;H",f66v,,hand label is blank
"f66v.12,+P0;H",f66v,,hand label is blank
"f66v.13,+P0;H",f66v,,hand label is blank
"f67r1.1,@P0;H",f67r1,,hand label is blank
"f67r1.2,+P0;H",f67r1,,hand label is blank
"f67r1.3,+P0;H",f67r1,,hand label is blank
"f67r1.4,+P0;H",f67r1,,hand label is blank
"f67r1.5,@Cc;H",f67r1,,hand label is blank
"f67r1.6,+Cc;H",f67r1,,hand label is blank
"f67r1.7,+Cc;H",f67r1,,hand label is blank
"f67r1.8,@Ri;H",f67r1,,hand label is blank
"f67r1.9,@Ri;H",f67r1,,hand label is blank
"f67r1.10,@Ri;H",f67r1,,hand label is blank
"f67r1.11,@Ri;H",f67r1,,hand label is blank
"f67r1.12,@Ri;H",f67r1,,hand label is blank
"f67r1.13,@Ri;H",f67r1,,hand label is blank
"f67r1.14,@Ri;H",f67r1,,hand label is blank
"f67r1.15,@Ri;H",f67r1,,hand label is blank
"f67r1.16,@Ri;H",f67r1,,hand label is blank
"f67r1.17,@Ri;H",f67r1,,hand label is blank
"f67r1.18,@Ri;H",f67r1,,hand label is blank
"f67r1.19,@Ri;H",f67r1,,hand label is blank
"f67r2.12,&L0;H",f67r2,,hand label is blank
"f67r2.1,@L0;H",f67r2,,hand label is blank
"f67r2.2,&L0;H",f67r2,,hand label is blank
"f67r2.3,&L0;H",f67r2,,hand label is blank
"f67r2.4,&L0;H",f67r2,,hand label is blank
"f67r2.5,&L0;H",f67r2,,hand label is blank
"f67r2.6,&L0;H",f67r2,,hand label is blank
"f67r2.7,&L0;H",f67r2,,hand label is blank
"f67r2.8,&L0;H",f67r2,,hand label is blank
"f67r2.9,&L0;H",f67r2,,hand label is blank
"f67r2.10,&L0;H",f67r2,,hand label is blank
"f67r2.11,&L0;H",f67r2,,hand label is blank
"f67r2.48,@Pb;H",f67r2,,hand label is blank
"f67r2.49,+Pb;H",f67r2,,hand label is blank
"f67r2.50,+Pb;H",f67r2,,hand label is blank
"f67r2.51,+Pb;H",f67r2,,hand label is blank
"f67r2.13,@Pb;H",f67r2,,hand label is blank
"f67r2.14,+Pb;H",f67r2,,hand label is blank
"f67r2.16,@Pb;H",f67r2,,hand label is blank
"f67r2.17,+Pb;H",f67r2,,hand label is blank
"f67r2.18,+Pb;H",f67r2,,hand label is blank
"f67r2.19,@Pb;H",f67r2,,hand label is blank
"f67r2.20,+Pb;H",f67r2,,hand label is blank
"f67r2.21,+Pb;H",f67r2,,hand label is blank
"f67r2.23,@Pb;H",f67r2,,hand label is blank
"f67r2.24,+Pb;H",f67r2,,hand label is blank
"f67r2.25,+Pb;H",f67r2,,hand label is blank
"f67r2.26,@Pb;H",f67r2,,hand label is blank
"f67r2.27,+Pb;H",f67r2,,hand label is blank
"f67r2.29,@Pb;H",f67r2,,hand label is blank
"f67r2.30,+Pb;H",f67r2,,hand label is blank
"f67r2.32,@Pb;H",f67r2,,hand label is blank
"f67r2.33,+Pb;H",f67r2,,hand label is blank
"f67r2.35,@Pb;H",f67r2,,hand label is blank
"f67r2.36,+Pb;H",f67r2,,hand label is blank
"f67r2.38,@Pb;H",f67r2,,hand label is blank
"f67r2.39,+Pb;H",f67r2,,hand label is blank
"f67r2.40,+Pb;H",f67r2,,hand label is blank
"f67r2.41,@Pb;H",f67r2,,hand label is blank
"f67r2.42,+Pb;H",f67r2,,hand label is blank
"f67r2.43,+Pb;H",f67r2,,hand label is blank
"f67r2.44,@Pb;H",f67r2,,hand label is blank
"f67r2.45,+Pb;H",f67r2,,hand label is blank
"f67r2.46,+Pb;H",f67r2,,hand label is blank
"f67r2.15,+L0;H",f67r2,,hand label is blank
"f67r2.22,+L0;H",f67r2,,hand label is blank
"f67r2.28,+L0;H",f67r2,,hand label is blank
"f67r2.31,+L0;H",f67r2,,hand label is blank
"f67r2.34,+L0;H",f67r2,,hand label is blank
"f67r2.37,+L0;H",f67r2,,hand label is blank
"f67r2.47,+L0;H",f67r2,,hand label is blank
"f67r2.63,&Ls;H",f67r2,,hand label is blank
"f67r2.52,@Ls;H",f67r2,,hand label is blank
"f67r2.53,&Ls;H",f67r2,,hand label is blank
"f67r2.54,&Ls;H",f67r2,,hand label is blank
"f67r2.55,&Ls;H",f67r2,,hand label is blank
"f67r2.56,&Ls;H",f67r2,,hand label is blank
"f67r2.57,&Ls;H",f67r2,,hand label is blank
"f67r2.58,&Ls;H",f67r2,,hand label is blank
"f67r2.59,&Ls;H",f67r2,,hand label is blank
"f67r2.60,&Ls;H",f67r2,,hand label is blank
"f67r2.61,&Ls;H",f67r2,,hand label is blank
"f67r2.62,&Ls;H",f67r2,,hand label is blank
"f67r2.64,@L0;H",f67r2,,hand label is blank
"f67r2.65,&L0;H",f67r2,,hand label is blank
"f67r2.66,&L0;H",f67r2,,hand label is blank
"f67r2.67,&L0;H",f67r2,,hand label is blank
"f67r2.68,&L0;H",f67r2,,hand label is blank
"f67r2.69,&L0;H",f67r2,,hand label is blank
"f67r2.70,&L0;H",f67r2,,hand label is blank
"f67r2.71,&L0;H",f67r2,,hand label is blank
"f67r2.72,@P0;H",f67r2,,hand label is blank
"f67r2.73,+P0;H",f67r2,,hand label is blank
"f67r2.74,+P0;H",f67r2,,hand label is blank
"f67v2.2,@La;H",f67v2,,hand label is blank
"f67v2.22,@La;H",f67v2,,hand label is blank
"f67v2.3,@Pb;H",f67v2,,hand label is blank
"f67v2.4,+Pb;H",f67v2,,hand label is blank
"f67v2.5,@Pb;H",f67v2,,hand label is blank
"f67v2.6,+Pb;H",f67v2,,hand label is blank
"f67v2.7,@Pb;H",f67v2,,hand label is blank
"f67v2.8,+Pb;H",f67v2,,hand label is blank
"f67v2.9,@Pb;H",f67v2,,hand label is blank
"f67v2.10,+Pb;H",f67v2,,hand label is blank
"f67v2.18,@Ri;H",f67v2,,hand label is blank
"f67v2.12,@Ri;H",f67v2,,hand label is blank
"f67v2.14,@Ri;H",f67v2,,hand label is blank
"f67v2.16,@Ri;H",f67v2,,hand label is blank
"f67v2.13,@Ro;H",f67v2,,hand label is blank
"f67v2.15,@Ro;H",f67v2,,hand label is blank
"f67v2.17,@Ro;H",f67v2,,hand label is blank
"f67v2.11,@Ro;H",f67v2,,hand label is blank
"f67v2.19,@La;H",f67v2,,hand label is blank
"f67v2.20,+La;H",f67v2,,hand label is blank
"f67v1.6,&L0;H",f67v1,,hand label is blank
"f67v1.7,&L0;H",f67v1,,hand label is blank
"f67v1.8,&L0;H",f67v1,,hand label is blank
"f67v1.9,&L0;H",f67v1,,hand label is blank
"f67v1.10,&L0;H",f67v1,,hand label is blank
"f67v1.11,&L0;H",f67v1,,hand label is blank
"f67v1.12,&L0;H",f67v1,,hand label is blank
"f67v1.1,@L0;H",f67v1,,hand label is blank
"f67v1.2,&L0;H",f67v1,,hand label is blank
"f67v1.3,&L0;H",f67v1,,hand label is blank
"f67v1.4,&L0;H",f67v1,,hand label is blank
"f67v1.5,&L0;H",f67v1,,hand label is blank
