hand,token,count,share
1,tchy,16,0.002199917503093634
1,chckhy,15,0.002062422659150282
1,chear,15,0.002062422659150282
1,cheey,15,0.002062422659150282
1,okchy,15,0.002062422659150282
1,otchor,15,0.002062422659150282
1,qokaiin,15,0.002062422659150282
1,dan,14,0.0019249278152069298
1,okal,14,0.0019249278152069298
1,okchor,14,0.0019249278152069298
1,shaiin,14,0.0019249278152069298
1,choiin,13,0.0017874329712635776
1,chokchy,13,0.0017874329712635776
1,cthaiin,13,0.0017874329712635776
1,ctho,13,0.0017874329712635776
1,ky,13,0.0017874329712635776
1,qokchol,13,0.0017874329712635776
1,qotchor,13,0.0017874329712635776
1,ytaiin,13,0.0017874329712635776
1,chocthy,12,0.0016499381273202254
1,chom,12,0.0016499381273202254
1,ckhey,12,0.0016499381273202254
1,ckhol,12,0.0016499381273202254
1,do,12,0.0016499381273202254
1,keey,12,0.0016499381273202254
1,os,12,0.0016499381273202254
1,otor,12,0.0016499381273202254
1,qodaiin,12,0.0016499381273202254
1,tchor,12,0.0016499381273202254
1,ytchor,12,0.0016499381273202254
1,ytchy,12,0.0016499381273202254
1,chotchy,11,0.0015124432833768734
1,kchey,11,0.0015124432833768734
1,okor,11,0.0015124432833768734
1,otchey,11,0.0015124432833768734
1,qotaiin,11,0.0015124432833768734
1,qotchol,11,0.0015124432833768734
1,sor,11,0.0015124432833768734
1,taiin,11,0.0015124432833768734
1,tchey,11,0.0015124432833768734
1,tol,11,0.0015124432833768734
1,yky,11,0.0015124432833768734
1,chain,10,0.0013749484394335212
1,cheo,10,0.0013749484394335212
1,cphy,10,0.0013749484394335212
1,kor,10,0.0013749484394335212
1,oaiin,10,0.0013749484394335212
1,okchey,10,0.0013749484394335212
1,qokeey,10,0.0013749484394335212
1,she,10,0.0013749484394335212
1,shodaiin,10,0.0013749484394335212
1,tchol,10,0.0013749484394335212
1,ydaiin,10,0.0013749484394335212
1,cham,9,0.001237453595490169
1,chan,9,0.001237453595490169
1,chory,9,0.001237453595490169
