locator,folio_id,currier_language,reason
"f68r3.9,@Ri;H",f68r3,,Currier label is blank
"f68r3.2,@Ri;H",f68r3,,Currier label is blank
"f68r3.3,@Ri;H",f68r3,,Currier label is blank
"f68r3.4,@Ri;H",f68r3,,Currier label is blank
"f68r3.5,@Ri;H",f68r3,,Currier label is blank
"f68r3.6,@Ri;H",f68r3,,Currier label is blank
"f68r3.7,@Ri;H",f68r3,,Currier label is blank
"f68r3.8,@Ri;H",f68r3,,Currier label is blank
"f68r3.11,@Ls;H",f68r3,,Currier label is blank
"f68r3.12,@La;H",f68r3,,Currier label is blank
"f68r3.10,@Ls;H",f68r3,,Currier label is blank
"f68r3.14,=Ls;H",f68r3,,Currier label is blank
"f68r3.13,@Ls;H",f68r3,,Currier label is blank
"f68r3.17,+Ls;H",f68r3,,Currier label is blank
"f68r3.16,+Ls;H",f68r3,,Currier label is blank
"f68r3.15,@Ls;H",f68r3,,Currier label is blank
"f68r3.20,=Ls;H",f68r3,,Currier label is blank
"f68r3.18,@Ls;H",f68r3,,Currier label is blank
"f68r3.21,*Ls;H",f68r3,,Currier label is blank
"f68r3.19,+Ls;H",f68r3,,Currier label is blank
"f68r3.22,@Cc;H",f68r3,,Currier label is blank
"f68v3.1,@P0;H",f68v3,,Currier label is blank
"f68v3.2,+P0;H",f68v3,,Currier label is blank
"f68v3.3,+P0;H",f68v3,,Currier label is blank
"f68v3.4,+P0;H",f68v3,,Currier label is blank
"f68v3.5,@Cc;H",f68v3,,Currier label is blank
"f68v3.11,@Ri;H",f68v3,,Currier label is blank
"f68v3.10,@Ri;H",f68v3,,Currier label is blank
"f68v3.9,@Ri;H",f68v3,,Currier label is blank
"f68v3.8,@Ri;H",f68v3,,Currier label is blank
"f68v3.7,@Ri;H",f68v3,,Currier label is blank
"f68v3.6,@Ri;H",f68v3,,Currier label is blank
"f68v3.13,@Ri;H",f68v3,,Currier label is blank
"f68v3.12,@Ri;H",f68v3,,Currier label is blank
"f68v3.14,@Cc;H",f68v3,,Currier label is blank
"f68v3.15,@L0;H",f68v3,,Currier label is blank
"f68v3.16,=L0;H",f68v3,,Currier label is blank
"f68v3.17,@Pb;H",f68v3,,Currier label is blank
"f68v3.18,+Pb;H",f68v3,,Currier label is blank
"f68v3.19,+Pb;H",f68v3,,Currier label is blank
"f68v2.1,@P0;H",f68v2,,Currier label is blank
"f68v2.2,+P0;H",f68v2,,Currier label is blank
"f68v2.3,+P0;H",f68v2,,Currier label is blank
"f68v2.4,+P0;H",f68v2,,Currier label is blank
"f68v2.5,+P0;H",f68v2,,Currier label is blank
"f68v2.6,@Cc;H",f68v2,,Currier label is blank
"f68v2.18,@Ro;H",f68v2,,Currier label is blank
"f68v2.7,@Ro;H",f68v2,,Currier label is blank
"f68v2.9,@Ro;H",f68v2,,Currier label is blank
"f68v2.10,@Ro;H",f68v2,,Currier label is blank
"f68v2.12,@Ro;H",f68v2,,Currier label is blank
"f68v2.13,@Ro;H",f68v2,,Currier label is blank
"f68v2.15,@Ro;H",f68v2,,Currier label is blank
"f68v2.16,@Ro;H",f68v2,,Currier label is blank
"f68v2.17,@Ro;H",f68v2,,Currier label is blank
"f68v2.8,@Ro;H",f68v2,,Currier label is blank
"f68v2.11,@Ro;H",f68v2,,Currier label is blank
"f68v2.14,@Ro;H",f68v2,,Currier label is blank
"f68v1.1,@Cc;H",f68v1,,Currier label is blank
"f68v1.2,@Cc;H",f68v1,,Currier label is blank
"f68v1.3,@Ro;H",f68v1,,Currier label is blank
"f68v1.4,@Ro;H",f68v1,,Currier label is blank
"f68v1.5,@Ro;H",f68v1,,Currier label is blank
"f68v1.6,@Ro;H",f68v1,,Currier label is blank
"f68v1.7,@Ro;H",f68v1,,Currier label is blank
"f68v1.8,@Ro;H",f68v1,,Currier label is blank
"f68v1.9,@Ro;H",f68v1,,Currier label is blank
"f68v1.10,@Ro;H",f68v1,,Currier label is blank
"f69r.1,@P0;H",f69r,,Currier label is blank
"f69r.2,+P0;H",f69r,,Currier label is blank
"f69r.3,+P0;H",f69r,,Currier label is blank
"f69r.4,+P0;H",f69r,,Currier label is blank
"f69r.11,&L0;H",f69r,,Currier label is blank
"f69r.12,&L0;H",f69r,,Currier label is blank
"f69r.13,&L0;H",f69r,,Currier label is blank
"f69r.14,&L0;H",f69r,,Currier label is blank
"f69r.15,&L0;H",f69r,,Currier label is blank
"f69r.16,&L0;H",f69r,,Currier label is blank
"f69r.17,&L0;H",f69r,,Currier label is blank
"f69r.18,&L0;H",f69r,,Currier label is blank
"f69r.19,&L0;H",f69r,,Currier label is blank
"f69r.20,&L0;H",f69r,,Currier label is blank
"f69r.5,@L0;H",f69r,,Currier label is blank
"f69r.6,&L0;H",f69r,,Currier label is blank
"f69r.7,&L0;H",f69r,,Currier label is blank
"f69r.8,&L0;H",f69r,,Currier label is blank
"f69r.9,&L0;H",f69r,,Currier label is blank
"f69r.10,&L0;H",f69r,,Currier label is blank
"f69r.30,@Ro;H",f69r,,Currier label is blank
"f69r.31,@Ro;H",f69r,,Currier label is blank
"f69r.32,@Ro;H",f69r,,Currier label is blank
"f69r.33,@Ro;H",f69r,,Currier label is blank
"f69r.34,@Ro;H",f69r,,Currier label is blank
"f69r.35,@Ro;H",f69r,,Currier label is blank
"f69r.36,@Ro;H",f69r,,Currier label is blank
"f69r.37,@Ro;H",f69r,,Currier label is blank
"f69r.38,@Ro;H",f69r,,Currier label is blank
"f69r.39,@Ro;H",f69r,,Currier label is blank
"f69r.40,@Ro;H",f69r,,Currier label is blank
"f69r.41,@Ro;H",f69r,,Currier label is blank
"f69r.42,@Ro;H",f69r,,Currier label is blank
"f69r.21,@Ro;H",f69r,,Currier label is blank
"f69r.22,@Ro;H",f69r,,Currier label is blank
"f69r.23,@Ro;H",f69r,,Currier label is blank
"f69r.24,@Ro;H",f69r,,Currier label is blank
"f69r.25,@Ro;H",f69r,,Currier label is blank
"f69r.26,@Ro;H",f69r,,Currier label is blank
"f69r.27,@Ro;H",f69r,,Currier label is blank
"f69r.28,@Ro;H",f69r,,Currier label is blank
"f69r.29,@Ro;H",f69r,,Currier label is blank
"f69r.43,@Cc;H",f69r,,Currier label is blank
"f69r.45,@L0;H",f69r,,Currier label is blank
"f69r.46,@L0;H",f69r,,Currier label is blank
"f69r.47,@L0;H",f69r,,Currier label is blank
"f69r.48,@L0;H",f69r,,Currier label is blank
"f69r.49,@L0;H",f69r,,Currier label is blank
"f69r.44,@L0;H",f69r,,Currier label is blank
"f69v.1,@Cc;H",f69v,,Currier label is blank
"f69v.2,@Cc;H",f69v,,Currier label is blank
"f69v.3,@Cc;H",f69v,,Currier label is blank
"f69v.7,@Ri;H",f69v,,Currier label is blank
"f69v.8,@Ri;H",f69v,,Currier label is blank
"f69v.9,@Ri;H",f69v,,Currier label is blank
"f69v.10,@Ri;H",f69v,,Currier label is blank
"f69v.11,@Ri;H",f69v,,Currier label is blank
"f69v.12,@Ri;H",f69v,,Currier label is blank
"f69v.13,@Ri;H",f69v,,Currier label is blank
"f69v.14,@Ri;H",f69v,,Currier label is blank
"f69v.15,@Ri;H",f69v,,Currier label is blank
"f69v.16,@Ri;H",f69v,,Currier label is blank
"f69v.17,@Ri;H",f69v,,Currier label is blank
"f69v.18,@Ri;H",f69v,,Currier label is blank
"f69v.19,@Ri;H",f69v,,Currier label is blank
"f69v.20,@Ri;H",f69v,,Currier label is blank
"f69v.21,@Ri;H",f69v,,Currier label is blank
"f69v.22,@Ri;H",f69v,,Currier label is blank
"f69v.23,@Ri;H",f69v,,Currier label is blank
"f69v.24,@Ri;H",f69v,,Currier label is blank
"f69v.25,@Ri;H",f69v,,Currier label is blank
"f69v.26,@Ri;H",f69v,,Currier label is blank
"f69v.27,@Ri;H",f69v,,Currier label is blank
"f69v.28,@Ri;H",f69v,,Currier label is blank
"f69v.29,@Ri;H",f69v,,Currier label is blank
"f69v.30,@Ri;H",f69v,,Currier label is blank
"f69v.31,@Ri;H",f69v,,Currier label is blank
"f69v.4,@Ri;H",f69v,,Currier label is blank
"f69v.5,@Ri;H",f69v,,Currier label is blank
"f69v.6,@Ri;H",f69v,,Currier label is blank
"f70r1.1,@Cc;H",f70r1,,Currier label is blank
"f70r1.2,@Cc;H",f70r1,,Currier label is blank
"f70r1.3,+Cc;H",f70r1,,Currier label is blank
"f70r1.6,@Ri;H",f70r1,,Currier label is blank
"f70r1.7,@Ri;H",f70r1,,Currier label is blank
"f70r1.8,@Ri;H",f70r1,,Currier label is blank
"f70r1.9,@Ri;H",f70r1,,Currier label is blank
"f70r1.10,@Ri;H",f70r1,,Currier label is blank
"f70r1.11,@Ri;H",f70r1,,Currier label is blank
"f70r1.12,@Ri;H",f70r1,,Currier label is blank
"f70r1.4,@Ri;H",f70r1,,Currier label is blank
"f70r1.5,@Ri;H",f70r1,,Currier label is blank
"f70r1.13,@Cc;H",f70r1,,Currier label is blank
"f70r1.15,@Ri;H",f70r1,,Currier label is blank
"f70r1.16,@Ri;H",f70r1,,Currier label is blank
"f70r1.17,@Ri;H",f70r1,,Currier label is blank
