token,count,proportion
chos,35,0.0009429387359232717
sheckhy,35,0.0009429387359232717
label,35,0.0009429387359232717
lkain,35,0.0009429387359232717
okchy,34,0.0009159976291826068
pchedy,34,0.0009159976291826068
dshedy,34,0.0009159976291826068
okor,33,0.0008890565224419419
ykar,33,0.0008890565224419419
cheos,33,0.0008890565224419419
olchedy,33,0.0008890565224419419
tchedy,33,0.0008890565224419419
shar,32,0.000862115415701277
oiin,32,0.000862115415701277
ckhy,32,0.000862115415701277
chees,32,0.000862115415701277
chedaiin,32,0.000862115415701277
otchedy,32,0.000862115415701277
olkain,32,0.000862115415701277
qopchedy,32,0.000862115415701277
okchey,31,0.0008351743089606121
otchey,31,0.0008351743089606121
qokeody,31,0.0008351743089606121
olor,31,0.0008351743089606121
olkaiin,31,0.0008351743089606121
ckhey,30,0.0008082332022199472
qokchey,30,0.0008082332022199472
cheal,30,0.0008082332022199472
shcthy,30,0.0008082332022199472
chckhey,30,0.0008082332022199472
chedar,30,0.0008082332022199472
lkar,30,0.0008082332022199472
opchey,29,0.0007812920954792823
oteos,28,0.0007543509887386173
os,28,0.0007543509887386173
qotor,28,0.0007543509887386173
lkedy,28,0.0007543509887386173
olchey,28,0.0007543509887386173
aly,28,0.0007543509887386173
kchy,27,0.0007274098819979525
qo,27,0.0007274098819979525
dchy,27,0.0007274098819979525
sair,27,0.0007274098819979525
checthy,27,0.0007274098819979525
yteedy,27,0.0007274098819979525
ytar,26,0.0007004687752572876
ykeedy,26,0.0007004687752572876
okeeey,26,0.0007004687752572876
otchdy,26,0.0007004687752572876
qokeeey,26,0.0007004687752572876
rain,26,0.0007004687752572876
kor,25,0.0006735276685166226
otchol,25,0.0006735276685166226
she,25,0.0006735276685166226
okam,25,0.0006735276685166226
yteey,25,0.0006735276685166226
orain,25,0.0006735276685166226
olkedy,25,0.0006735276685166226
dchedy,25,0.0006735276685166226
okchedy,25,0.0006735276685166226
dchor,24,0.0006465865617759578
chety,24,0.0006465865617759578
cheeky,24,0.0006465865617759578
chedal,24,0.0006465865617759578
daly,24,0.0006465865617759578
qotchedy,24,0.0006465865617759578
odar,23,0.0006196454550352928
ycheey,23,0.0006196454550352928
pol,23,0.0006196454550352928
qokeeo,23,0.0006196454550352928
yty,23,0.0006196454550352928
oaiin,23,0.0006196454550352928
tor,23,0.0006196454550352928
qotey,23,0.0006196454550352928
aiir,23,0.0006196454550352928
ary,23,0.0006196454550352928
qotchdy,23,0.0006196454550352928
tchey,22,0.0005927043482946279
tchy,22,0.0005927043482946279
qoaiin,22,0.0005927043482946279
daiir,22,0.0005927043482946279
qokam,22,0.0005927043482946279
chl,22,0.0005927043482946279
okeor,22,0.0005927043482946279
qor,22,0.0005927043482946279
keody,22,0.0005927043482946279
kal,22,0.0005927043482946279
ched,22,0.0005927043482946279
ky,21,0.0005657632415539631
ckhol,21,0.0005657632415539631
kchey,21,0.0005657632415539631
kchol,21,0.0005657632415539631
ytedy,21,0.0005657632415539631
okchdy,21,0.0005657632415539631
qokeor,21,0.0005657632415539631
okair,21,0.0005657632415539631
olky,21,0.0005657632415539631
kchedy,21,0.0005657632415539631
otair,21,0.0005657632415539631
rar,21,0.0005657632415539631
shaiin,20,0.0005388221348132981
shear,20,0.0005388221348132981
kchor,20,0.0005388221348132981
shodaiin,20,0.0005388221348132981
dchol,20,0.0005388221348132981
oldy,20,0.0005388221348132981
shecthy,20,0.0005388221348132981
om,20,0.0005388221348132981
teey,20,0.0005388221348132981
dary,20,0.0005388221348132981
chdar,20,0.0005388221348132981
okaly,20,0.0005388221348132981
olshedy,20,0.0005388221348132981
qoeedy,20,0.0005388221348132981
cthar,19,0.0005118810280726332
keol,19,0.0005118810280726332
splant,19,0.0005118810280726332
ytchy,19,0.0005118810280726332
qotchey,19,0.0005118810280726332
rol,19,0.0005118810280726332
sheal,19,0.0005118810280726332
chedain,19,0.0005118810280726332
opchdy,19,0.0005118810280726332
otaly,19,0.0005118810280726332
tal,19,0.0005118810280726332
olkar,19,0.0005118810280726332
okchor,18,0.00048493992133196833
tchor,18,0.00048493992133196833
soiin,18,0.00048493992133196833
chockhy,18,0.00048493992133196833
qokchol,18,0.00048493992133196833
doiin,18,0.00048493992133196833
cthody,18,0.00048493992133196833
ydaiin,18,0.00048493992133196833
dl,18,0.00048493992133196833
qockhy,18,0.00048493992133196833
odain,18,0.00048493992133196833
ldy,18,0.00048493992133196833
