token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
ar,line_medial,316,344,0.011484227358627707,0.009267740718788728,1.2391614857486721
sheol,line_medial,101,110,0.0036705916557639193,0.0029635217414731396,1.238591100714956
chy,line_medial,122,133,0.004433783980229685,0.0035831671965084327,1.2373924344222966
chedal,line_medial,22,24,0.0007995348161069923,0.0006465865617759578,1.2365472210108057
chety,line_medial,22,24,0.0007995348161069923,0.0006465865617759578,1.2365472210108057
qotchedy,line_medial,22,24,0.0007995348161069923,0.0006465865617759578,1.2365472210108057
chekal,line_medial,11,12,0.00039976740805349614,0.0003232932808879789,1.2365472210108057
chkain,line_medial,11,12,0.00039976740805349614,0.0003232932808879789,1.2365472210108057
oteor,line_medial,11,12,0.00039976740805349614,0.0003232932808879789,1.2365472210108057
otedy,line_medial,140,153,0.005087948829771769,0.004121989331321731,1.2343430370161341
qotchdy,line_medial,21,23,0.0007631923244657653,0.0006196454550352928,1.2316596825878383
qotey,line_medial,21,23,0.0007631923244657653,0.0006196454550352928,1.2316596825878383
chal,line_medial,41,45,0.0014900421572903038,0.0012123498033299207,1.2290529954289222
qokchdy,line_medial,51,56,0.001853467073702573,0.0015087019774772347,1.2285176936016449
chckhedy,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
chcphy,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
chkar,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
ckheey,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
fchedy,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
okeal,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
olar,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
pchdy,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
qolchey,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
qopchy,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
ytain,line_medial,10,11,0.0003634249164122692,0.00029635217414731397,1.2263278224900553
chody,line_medial,78,86,0.0028347143480157,0.002316935179697182,1.2234758973214739
olkain,line_medial,29,32,0.0010539322575955808,0.000862115415701277,1.222495548044774
qopchedy,line_medial,29,32,0.0010539322575955808,0.000862115415701277,1.222495548044774
qoteey,line_medial,38,42,0.0013810146823666231,0.0011315264831079262,1.2204881661924836
kchedy,line_medial,19,21,0.0006905073411833116,0.0005657632415539631,1.2204881661924836
kchol,line_medial,19,21,0.0006905073411833116,0.0005657632415539631,1.2204881661924836
kar,line_medial,47,52,0.0017080971071376653,0.0014009375505145752,1.2192528542833818
olkaiin,line_medial,28,31,0.001017589765954354,0.0008351743089606121,1.2184160300868938
qokeody,line_medial,28,31,0.001017589765954354,0.0008351743089606121,1.2184160300868938
cthey,line_medial,37,41,0.001344672190725396,0.001104585376367261,1.2173546920815916
tedy,line_medial,37,41,0.001344672190725396,0.001104585376367261,1.2173546920815916
sheor,line_medial,46,51,0.0016717546154964384,0.0013739964437739101,1.216709565058761
qokedy,line_medial,237,263,0.008613170518970781,0.00708551107279487,1.215603282597557
shaiin,line_medial,18,20,0.0006541648495420846,0.0005388221348132981,1.214064544265155
lkaiin,line_medial,44,49,0.0015990696322139846,0.0013201142302925804,1.2113115634391567
okedy,line_medial,105,117,0.003815961622328827,0.003152109488657794,1.2106056709196702
qokain,line_medial,243,271,0.008831225468818142,0.00730103992672019,1.2095846012973868
qotal,line_medial,51,57,0.001853467073702573,0.0015356430842178997,1.2069647516086335
cthar,line_medial,17,19,0.0006178223579008577,0.0005118810280726332,1.2069647516086335
qotchey,line_medial,17,19,0.0006178223579008577,0.0005118810280726332,1.2069647516086335
