section,token,section_count,overall_count,section_share,overall_share,overrepresentation_ratio
cosmological,otar,17,141,0.006666666666666667,0.0037137514157031108,1.795130023640662
cosmological,dar,37,319,0.014509803921568627,0.008402033344746753,1.7269395783391726
cosmological,dal,29,253,0.011372549019607842,0.006663681618247426,1.7066465163140352
cosmological,dam,11,98,0.004313725490196078,0.0025811889272262752,1.671216486594638
cosmological,aiin,51,470,0.02,0.012379171385677035,1.615617021276596
cosmological,al,27,261,0.010588235294117647,0.006874390918429162,1.5402434077079108
cosmological,chdy,15,152,0.0058823529411764705,0.004003476703452999,1.4693111455108359
cosmological,otal,14,143,0.005490196078431373,0.0037664287407485446,1.4576662553133142
cosmological,okar,12,129,0.004705882352941176,0.0033976874654305053,1.3850250797993615
cosmological,oteey,13,140,0.005098039215686275,0.0036874127531803936,1.3825518207282914
cosmological,y,16,176,0.006274509803921568,0.004635604603998209,1.3535472370766488
cosmological,dy,23,271,0.009019607843137255,0.007137777543656333,1.2636437305549526
cosmological,otaiin,13,154,0.005098039215686275,0.004056154028498433,1.256865291571174
cosmological,sheey,12,144,0.004705882352941176,0.0037927674032712617,1.240751633986928
cosmological,qokal,15,191,0.0058823529411764705,0.005030684541838966,1.1692947336002464
cosmological,otedy,11,155,0.004313725490196078,0.00408249269102115,1.056640101201771
cosmological,ol,36,539,0.01411764705882353,0.014196539099744516,0.9944428680563134
cosmological,s,17,255,0.006666666666666667,0.00671635894329286,0.9926013071895425
cosmological,qokaiin,17,262,0.006666666666666667,0.006900729580951879,0.9660814249363868
cosmological,chy,10,155,0.00392156862745098,0.00408249269102115,0.9605819101834282
cosmological,chey,19,344,0.007450980392156863,0.00906049990781468,0.822358641130871
cosmological,chol,17,396,0.006666666666666667,0.01043011035899597,0.6391750841750843
cosmological,chedy,20,501,0.00784313725490196,0.013195669923881265,0.594372040233259
cosmological,shey,11,283,0.004313725490196078,0.007453841493928939,0.5787251437677544
cosmological,daiin,33,864,0.012941176470588235,0.022756604419627572,0.5686778322440087
cosmological,shedy,15,427,0.0058823529411764705,0.0112466088972002,0.5230334756853562
herbal,choiin,13,13,0.001138553161674549,0.00034240261279532225,3.3251882991767387
herbal,qotchol,13,13,0.001138553161674549,0.00034240261279532225,3.3251882991767387
herbal,ctho,15,15,0.0013137151865475565,0.00039507993784075645,3.3251882991767383
