section,token,section_share,overall_share
astronomical,oekaiin,0.001176470588235294,7.90159875681513e-05
astronomical,oekain,0.001176470588235294,2.6338662522717095e-05
astronomical,oekaody,0.001176470588235294,2.6338662522717095e-05
astronomical,oekey,0.001176470588235294,7.90159875681513e-05
astronomical,oeoldan,0.001176470588235294,2.6338662522717095e-05
astronomical,oepchol,0.001176470588235294,5.267732504543419e-05
astronomical,oetchdy,0.001176470588235294,2.6338662522717095e-05
astronomical,oeteody,0.001176470588235294,2.6338662522717095e-05
astronomical,ofcheor,0.001176470588235294,2.6338662522717095e-05
astronomical,ofchsody,0.001176470588235294,2.6338662522717095e-05
astronomical,ofor,0.001176470588235294,5.267732504543419e-05
astronomical,ofydy,0.001176470588235294,2.6338662522717095e-05
astronomical,oiin,0.002352941176470588,0.0009218531882950984
astronomical,oiinar,0.001176470588235294,2.6338662522717095e-05
astronomical,oirsg,0.001176470588235294,2.6338662522717095e-05
astronomical,okadar,0.001176470588235294,2.6338662522717095e-05
astronomical,okady,0.001176470588235294,5.267732504543419e-05
astronomical,okaiin,0.001176470588235294,0.0055837964548160245
astronomical,okain,0.001176470588235294,0.0037927674032712617
astronomical,okaisy,0.001176470588235294,2.6338662522717095e-05
astronomical,okal,0.002352941176470588,0.0036347354281349594
astronomical,okalar,0.001176470588235294,0.0001580319751363026
astronomical,okar,0.002352941176470588,0.0033976874654305053
astronomical,okardy,0.001176470588235294,5.267732504543419e-05
astronomical,okchdy,0.001176470588235294,0.000553111912977059
astronomical,okcheody,0.001176470588235294,7.90159875681513e-05
astronomical,okchoal,0.001176470588235294,2.6338662522717095e-05
astronomical,okchoda,0.001176470588235294,5.267732504543419e-05
astronomical,okchol,0.002352941176470588,0.00039507993784075645
astronomical,okchor,0.001176470588235294,0.000526773250454342
astronomical,okchy,0.002352941176470588,0.0010272078383859668
astronomical,okechdaral,0.001176470588235294,2.6338662522717095e-05
astronomical,okechey,0.001176470588235294,5.267732504543419e-05
astronomical,okechoy,0.001176470588235294,2.6338662522717095e-05
astronomical,okedy,0.001176470588235294,0.0031079621776806173
astronomical,okeechor,0.001176470588235294,2.6338662522717095e-05
astronomical,okeedy,0.001176470588235294,0.002765559564885295
astronomical,okeeoda,0.001176470588235294,2.6338662522717095e-05
astronomical,okeeodaiin,0.001176470588235294,5.267732504543419e-05
astronomical,okeeodal,0.001176470588235294,2.6338662522717095e-05
astronomical,okeeody,0.002352941176470588,0.0004214186003634735
astronomical,okeeos,0.001176470588235294,0.0001580319751363026
astronomical,okees,0.001176470588235294,0.0004214186003634735
astronomical,okeey,0.007058823529411765,0.004635604603998209
astronomical,okemy,0.001176470588235294,2.6338662522717095e-05
astronomical,okeo,0.002352941176470588,0.0003687412753180394
astronomical,okeodaiin,0.001176470588235294,5.267732504543419e-05
astronomical,okeodly,0.001176470588235294,2.6338662522717095e-05
astronomical,okeody,0.0035294117647058825,0.0009745305133405326
astronomical,okeohdar,0.001176470588235294,2.6338662522717095e-05
astronomical,okeokedr,0.001176470588235294,2.6338662522717095e-05
astronomical,okeol,0.002352941176470588,0.0017383517264993283
astronomical,okeor,0.0035294117647058825,0.0005794505754997761
astronomical,okeos,0.002352941176470588,0.0003687412753180394
astronomical,okeosar,0.001176470588235294,5.267732504543419e-05
astronomical,okesoe,0.001176470588235294,2.6338662522717095e-05
astronomical,okey,0.004705882352941176,0.001685674401453894
astronomical,okeyteey,0.001176470588235294,2.6338662522717095e-05
astronomical,okinaiir,0.001176470588235294,2.6338662522717095e-05
astronomical,oko,0.001176470588235294,0.00021070930018173676
astronomical,okoaiin,0.001176470588235294,5.267732504543419e-05
astronomical,okoaly,0.001176470588235294,2.6338662522717095e-05
astronomical,okodaly,0.001176470588235294,2.6338662522717095e-05
astronomical,okodas,0.001176470588235294,2.6338662522717095e-05
astronomical,okol,0.004705882352941176,0.002186108989385519
astronomical,okolaldy,0.001176470588235294,2.6338662522717095e-05
astronomical,okolchy,0.001176470588235294,7.90159875681513e-05
astronomical,okoldy,0.001176470588235294,0.00021070930018173676
astronomical,okolshy,0.001176470588235294,7.90159875681513e-05
astronomical,okor,0.002352941176470588,0.0008955145257723813
astronomical,okos,0.002352941176470588,0.00021070930018173676
astronomical,oksheeoda,0.001176470588235294,2.6338662522717095e-05
astronomical,okshor,0.001176470588235294,5.267732504543419e-05
astronomical,oky,0.002352941176470588,0.0026865435773171437
astronomical,okyld,0.001176470588235294,2.6338662522717095e-05
astronomical,ol,0.004705882352941176,0.014196539099744516
astronomical,olar,0.001176470588235294,0.00028972528774988805
astronomical,olcheesey,0.001176470588235294,2.6338662522717095e-05
astronomical,oldy,0.002352941176470588,0.0007374825506360788
astronomical,oloesdr,0.001176470588235294,2.6338662522717095e-05
astronomical,olol,0.001176470588235294,0.0004740959254089077
astronomical,olor,0.001176470588235294,0.00081649853820423
astronomical,ols,0.002352941176470588,0.0004740959254089077
astronomical,oly,0.002352941176470588,0.0015013037637948744
astronomical,om,0.001176470588235294,0.0005794505754997761
astronomical,opain,0.001176470588235294,5.267732504543419e-05
astronomical,opcheeol,0.001176470588235294,2.6338662522717095e-05
astronomical,opcheey,0.001176470588235294,0.0001316933126135855
astronomical,opcheody,0.001176470588235294,7.90159875681513e-05
astronomical,opchey,0.001176470588235294,0.0007638212131587958
astronomical,opcholdy,0.001176470588235294,2.6338662522717095e-05
astronomical,opocphor,0.001176470588235294,2.6338662522717095e-05
astronomical,opodchol,0.001176470588235294,2.6338662522717095e-05
astronomical,or,0.007058823529411765,0.009666289145837174
astronomical,oraly,0.001176470588235294,5.267732504543419e-05
astronomical,oram,0.001176470588235294,0.000263386625227171
astronomical,oran,0.001176470588235294,5.267732504543419e-05
astronomical,orasaly,0.001176470588235294,2.6338662522717095e-05
astronomical,orchoer,0.001176470588235294,2.6338662522717095e-05
astronomical,ordaiin,0.001176470588235294,5.267732504543419e-05
astronomical,oriid,0.001176470588235294,2.6338662522717095e-05
astronomical,os,0.001176470588235294,0.0008955145257723813
astronomical,osaiin,0.001176470588235294,0.00021070930018173676
astronomical,osar,0.002352941176470588,5.267732504543419e-05
astronomical,oschaiin,0.001176470588235294,2.6338662522717095e-05
astronomical,oshchey,0.001176470588235294,2.6338662522717095e-05
astronomical,osheey,0.001176470588235294,5.267732504543419e-05
astronomical,oshey,0.001176470588235294,0.0001843706376590197
astronomical,ot,0.002352941176470588,0.000263386625227171
astronomical,otaldy,0.001176470588235294,0.0001843706376590197
astronomical,otaly,0.001176470588235294,0.0005004345879316248
astronomical,otar,0.002352941176470588,0.0037137514157031108
astronomical,otardy,0.001176470588235294,5.267732504543419e-05
astronomical,otch,0.001176470588235294,5.267732504543419e-05
astronomical,otchal,0.001176470588235294,0.00010535465009086838
