token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
chey,line_final,19,344,0.004323094425483504,0.00906049990781468,0.47713641294282616
or,line_final,19,367,0.004323094425483504,0.009666289145837174,0.4472341309327853
qokaiin,line_final,13,262,0.0029579067121729237,0.006900729580951879,0.42863680969873813
shedy,line_final,20,427,0.004550625711035267,0.0112466088972002,0.40462202897160654
shey,line_final,13,283,0.0029579067121729237,0.007453841493928939,0.39682983795430876
qokain,line_final,10,279,0.0022753128555176336,0.00734848684383807,0.3096301189442222
qokeey,line_final,11,308,0.002502844141069397,0.008112308056996866,0.30852429709085
ychor,line_initial,16,16,0.0036405005688282138,0.0004214186003634735,8.6386803185438
ycheol,line_initial,13,14,0.0029579067121729237,0.0003687412753180394,8.021631724362098
ychol,line_initial,11,12,0.002502844141069397,0.0003160639502726052,7.918790291998483
yshey,line_initial,11,12,0.002502844141069397,0.0003160639502726052,7.918790291998483
ycheey,line_initial,21,24,0.00477815699658703,0.0006321279005452104,7.558845278725824
ycheo,line_initial,13,15,0.0029579067121729237,0.00039507993784075645,7.4868562760712924
dcheey,line_initial,11,13,0.002502844141069397,0.00034240261279532225,7.30965257722937
dshedy,line_initial,30,36,0.006825938566552901,0.0009481918508178154,7.198900265453167
pol,line_initial,20,24,0.004550625711035267,0.0006321279005452104,7.198900265453165
qotchor,line_initial,11,14,0.002502844141069397,0.0003687412753180394,6.7875345359987
dshey,line_initial,10,14,0.0022753128555176336,0.0003687412753180394,6.170485941816999
tchedy,line_initial,23,33,0.005233219567690558,0.0008691758632496642,6.020898403833558
dchey,line_initial,12,18,0.0027303754266211604,0.0004740959254089077,5.759120212362533
sor,line_initial,37,57,0.008418657565415245,0.0015013037637948744,5.607564417300362
soiin,line_initial,13,21,0.0029579067121729237,0.000553111912977059,5.3477544829080665
dchedy,line_initial,16,27,0.0036405005688282138,0.0007111438881133616,5.119217966544474
ychey,line_initial,10,17,0.0022753128555176336,0.00044775726288619064,5.081576657966941
tol,line_initial,28,48,0.006370875995449375,0.0012642558010904207,5.039230185817217
tchor,line_initial,11,19,0.002502844141069397,0.0005004345879316248,5.001341237051673
sol,line_initial,40,75,0.009101251422070534,0.0019753996892037822,4.607296169890026
doiin,line_initial,10,19,0.0022753128555176336,0.0005004345879316248,4.546673851865157
tor,line_initial,12,23,0.0027303754266211604,0.0006057892380224932,4.507137557501113
sain,line_initial,35,68,0.007963594994311717,0.0017910290515447626,4.446379575721073
dchor,line_initial,12,26,0.0027303754266211604,0.0006848052255906445,3.987083223943292
oaiin,line_initial,11,26,0.002502844141069397,0.0006848052255906445,3.654826288614685
sair,line_initial,11,28,0.002502844141069397,0.0007374825506360788,3.39376726799935
saiin,line_initial,56,144,0.01274175199089875,0.0037927674032712617,3.3594867905448114
pchedy,line_initial,12,34,0.0027303754266211604,0.0008955145257723813,3.0489459947801647
tar,line_initial,15,43,0.0034129692832764505,0.001132562488476835,3.0134931343757443
qotor,line_initial,10,29,0.0022753128555176336,0.0007638212131587958,2.9788552822564824
sar,line_initial,28,84,0.006370875995449375,0.002212447651908236,2.879560106181267
dor,line_initial,23,74,0.005233219567690558,0.001949061026681065,2.684995234141992
qotchy,line_initial,19,63,0.004323094425483504,0.0016593357389311772,2.6053162865449555
taiin,line_initial,12,42,0.0027303754266211604,0.001106223825954118,2.4681943767268
dair,line_initial,30,106,0.006825938566552901,0.0027918982274080122,2.4449095241161696
sho,line_initial,33,130,0.007508532423208191,0.0034240261279532224,2.192895773168811
sal,line_initial,13,55,0.0029579067121729237,0.0014486264387494404,2.0418698934739887
dain,line_initial,47,211,0.010693970420932878,0.005557457792293307,1.9242558055524102
ykaiin,line_initial,10,45,0.0022753128555176336,0.0011852398135222693,1.9197067374541776
shor,line_initial,19,97,0.004323094425483504,0.0025548502647035586,1.6921126397147648
y,line_initial,34,176,0.007736063708759955,0.004635604603998209,1.6688359706277796
ykeey,line_initial,11,58,0.002502844141069397,0.0015276424263175915,1.6383704052410657
qokchy,line_initial,13,69,0.0029579067121729237,0.0018173677140674797,1.6275774513198462
daiin,line_initial,156,864,0.03549488054607509,0.022756604419627572,1.5597617241815194
o,line_initial,13,91,0.0029579067121729237,0.002396818289567256,1.2340971883634
dol,line_initial,16,117,0.0036405005688282138,0.0030816235151579,1.181357992279494
qoteedy,line_initial,10,74,0.0022753128555176336,0.001949061026681065,1.1673892322356485
otol,line_initial,10,86,0.0022753128555176336,0.00226512497695367,1.0044977114585814
qokol,line_initial,12,105,0.0027303754266211604,0.002765559564885295,0.98727775069072
dar,line_initial,36,319,0.008191126279863481,0.008402033344746753,0.9748980923748489
qokaiin,line_initial,28,262,0.006370875995449375,0.006900729580951879,0.923217743966513
qol,line_initial,16,151,0.0036405005688282138,0.003977138040930282,0.9153568549450384
qokeedy,line_initial,32,305,0.0072810011376564275,0.008033292069428714,0.9063533448963987
qokeey,line_initial,32,308,0.0072810011376564275,0.008112308056996866,0.8975252279006545
oteey,line_initial,14,140,0.0031854379977246873,0.0036874127531803936,0.86386803185438
okeey,line_initial,17,176,0.0038680318543799774,0.004635604603998209,0.8344179853138898
shol,line_initial,17,187,0.0038680318543799774,0.004925329891748097,0.7853345744130728
qokain,line_initial,24,279,0.005460750853242321,0.00734848684383807,0.7431122854661333
or,line_initial,31,367,0.007053469852104664,0.009666289145837174,0.7296977925745445
qokedy,line_initial,20,272,0.004550625711035267,0.00716411620617905,0.6351970822458676
qokal,line_initial,14,191,0.0031854379977246873,0.005030684541838966,0.6332016987414304
okaiin,line_initial,15,212,0.0034129692832764505,0.0055837964548160245,0.6112273810290424
okain,line_initial,10,144,0.0022753128555176336,0.0037927674032712617,0.5999083554544306
