token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
aiphey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiphhey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aiphy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
air,0.001949061026681065,0.0,0.0024678300722721664,0.0006825938566552901,0.0012315270935960591
airal,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
airaldy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
airam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
airar,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
airchy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
airod,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
airody,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
airol,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
airolm,2.6338662522717095e-05,0.0,0.0,0.0,0.0012315270935960591
airols,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
airorlchy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
airoy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
airy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
ais,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aisam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aithchr,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aithy,0.0001316933126135855,0.0,0.00010576414595452142,0.0004550625711035267,0.0
aiy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akaiiky,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akaiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akain,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akair,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akal,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akar,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
akarar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akchedy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akchy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
akey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aky,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
al,0.006874390918429162,0.00022753128555176336,0.00786180151595276,0.008418657565415245,0.0
alaiiin,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alaiin,0.00010535465009086838,0.0,0.00014101886127269522,0.0,0.0
alain,0.00010535465009086838,0.0,0.00010576414595452142,0.00022753128555176336,0.0
alair,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alairdy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alal,0.0001316933126135855,0.0,0.00017627357659086903,0.0,0.0
alaldy,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alalor,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
